"","CellSubset","C1 15min antiIgE","C1 15min media","C1 15min PN","C1 30min antiIgE","C1 30min media","C1 30min PN","C2 15min antiIgE","C2 15min media","C2 15min PN","C2 30min antiIgE","C2 30min media","C2 30min PN","C3 15min antiIgE","C3 15min media","C3 15min PN","C3 30min antiIgE","C3 30min media","C3 30min PN","P1 15min antiIgE","P1 15min media","P1 15min PN","P1 30min antiIgE","P1 30min media","P1 30min PN","P2 15min antiIgE","P2 15min media","P2 15min PN","P2 30min antiIgE","P2 30min media","P2 30min PN","P3 15min antiIgE","P3 15min media","P3 15min PN","P3 30min antiIgE","P3 30min media","P3 30min PN","P4 15min antiIgE","P4 15min media","P4 15min PN","P4 30min antiIgE","P4 30min media","P4 30min PN","P5 15min antiIgE","P5 15min media","P5 15min PN","P5 30min antiIgE","P5 30min media","P5 30min PN","P6 15min antiIgE","P6 15min media","P6 15min PN","P6 30min antiIgE","P6 30min media","P6 30min PN"
"1","Basophil",0.0192551326773225,0.0160211861270345,0.0205948690223773,0.0208236138525031,0.0251922566958366,0.0188505345673982,0.041156951940589,0.0230668828857335,0.0278619018776499,0.0279360988584362,0.0249064893427537,0.0229481297393742,0.0332042810428978,0.0259406089966558,0.0273566602645972,0.0259112905290649,0.023499272297073,0.0420732868151606,0.0314074768545646,0.0397911669253563,0.0454258010118044,0.0306563605397616,0.0365544697792255,0.0267673301304049,0.0580915457728864,0.055855108530347,0.0721710139242989,0.0538247879288342,0.0453736174804424,0.057742782152231,0.012157317303286,0.0146556667709311,0.0145382336664605,0.0133311764230093,0.012240888597839,0.0137888454414489,0.0331495658135283,0.0244296724599379,0.0198806524333643,0.0202854996243426,0.0266501720745678,0.0222877308947302,0.0141680864985327,0.0253624124654384,0.015318762074321,0.0162369510259743,0.017423371267695,0.0171342726054651,0.0114892788367917,0.018530622339204,0.0126481312670921,0.0134691268214183,0.0175165229570622,0.0110057539750094
"2","B Cell",0.00183092969577064,0.00270583687669115,0.00265249748688534,0.0024762246545846,0.00212145319543888,0.0026388808040825,0.0450156760667626,0.0275283787525215,0.0383330580180974,0.0273991838892468,0.0343688772783946,0.0372618364876059,0.0283332848174347,0.0316399996647417,0.0116602158504841,0.0492877808976777,0.0482071272331118,0.0348472432602452,0.126801828196414,0.158741357414985,0.146079258010118,0.148172409275514,0.124502352515382,0.128443965094617,0.1048024012006,0.0729296280934605,0.0859645682159901,0.0445912469033856,0.0599406528189911,0.0683087690961707,0.0323880637248295,0.0337360546345532,0.0564666818581334,0.051192305712626,0.0412059542100093,0.0183719347127456,0.0405478747714808,0.024074161026556,0.0469698978915263,0.0218954599119888,0.028459751659878,0.0327698965087456,0.0565233446272051,0.00850151166696814,0.0203795598318118,0.0313733621494023,0.0651730837860343,0.0431280198140404,0.0747704668556303,0.0552650638591037,0.079770111668186,0.0565953163003623,0.0168949971549875,0.0627574818698716
"3","CD4+ T Cell",0.328135575571406,0.360172384015001,0.348541548754424,0.342239368383277,0.353526424860289,0.3568213128432,0.550807920363918,0.552252501680971,0.604674852706349,0.530496770249955,0.525062340438164,0.509239788440706,0.27533742807518,0.271408336196998,0.272221193124762,0.251252464389045,0.256304630914182,0.263895441715709,0.259463260283605,0.239593622125018,0.228393760539629,0.263723306694615,0.240197852575703,0.239239141092264,0.210230115057529,0.217751970136873,0.205203634699614,0.229036859094663,0.154194766657675,0.203109226731274,0.292126047928404,0.311066364299864,0.325622578859989,0.305756744634073,0.296564491348261,0.304541928538636,0.358675159963437,0.364674237495053,0.317788091765018,0.341506117849093,0.359204837828768,0.342627473496996,0.334579330271247,0.43192330551177,0.334292965642638,0.360107821010742,0.377469368333399,0.378212676113525,0.271602801278029,0.319931459661891,0.24849732224248,0.269492758415449,0.321565194555084,0.302466718872357
"4","CD8+ T Cell",0.186017250655143,0.206860818001628,0.206793434646348,0.202664633052216,0.210721195871024,0.211964219880862,0.174532420767254,0.174164458331685,0.193106106491933,0.168087426277445,0.165053731520513,0.161584783024278,0.270107414199633,0.276722179849301,0.266400834543877,0.253693383062073,0.268007455763322,0.265302575054009,0.11824680651588,0.109919571045576,0.106871838111298,0.134940390410062,0.106768005790807,0.110599078341014,0.17783891945973,0.203511682566017,0.173890305288619,0.186772764807447,0.143943889937955,0.182784844202167,0.193290562579184,0.206228495464498,0.21568410430027,0.208401655918881,0.193020678538146,0.207529247866766,0.265817813071298,0.269517913080808,0.233226362551386,0.251931952345175,0.264330225243306,0.247608777850911,0.13360239956984,0.166477169952712,0.130012500473503,0.142703340696849,0.149197033982315,0.149376750984612,0.167946859380747,0.203607200268509,0.158528942570647,0.168470633188575,0.192891845756554,0.188255422014913
"5","CD14+ Monocyte",0.181747973828986,0.183931112189425,0.188918642664662,0.179499371972008,0.172819863087697,0.18366416361061,0.0807920363917603,0.0859312581576553,0.0183359947139475,0.100923493747006,0.117348453363415,0.093544892627286,0.214595522952872,0.224103393651885,0.223269735110314,0.225298500456605,0.185517435081239,0.206798937200467,0.185983827493261,0.115987018484549,0.149241146711636,0.166644831652037,0.176860899987936,0.142464947543877,0.127188594297149,0.123531038296696,0.0950513172517487,0.0785977028751595,0.0520097113568924,0.106198263678579,0.0642909130118338,0.0840697007611302,0.0791236693902796,0.0782002544173769,0.0683260710777523,0.0813003625310684,0.107154079067642,0.132646011228795,0.151497148919241,0.125804980143823,0.163414906987609,0.11438654473651,0.144913546815582,0.159513165714876,0.170051895905148,0.165503656503952,0.176406677505056,0.165504080555443,0.0796676547590713,0.158128566129061,0.124451629443938,0.139555731910735,0.15792883091872,0.163707398454258
"6","CD16+ Monocyte",0.00565765953385051,0.00921958400842181,0.0166668074574038,0.0085501525210838,0.0170993056169402,0.00919727574364049,0.000948048599965072,0.00136850848396156,0.000835122882366977,0.00183377112553898,0.00133586653209048,0.000916013509207927,0.0246169669800794,0.0222024792349406,0.0122061791344532,0.0127337435669844,0.0100176180708638,0.00906359414963621,0.0157037384272823,0,0.0140177065767285,0,0.0165279285800458,0.0117658593979802,0.00443971985992996,0,0,0,0.00194227137847316,0,0.00723778203089199,0.00934469815451986,0.0070770532894951,0.00354419582784914,0.00280205526030779,0.00588123545522187,0.0167961608775137,0.0117251695387071,0.011632409494762,0.0142816893849952,0.019918536017214,0.0128768888204238,0.0463264684732543,0.0431794103206801,0.0426910110231448,0.050265963809782,0.0363297513779293,0.031580656949125,0.0218029440826247,0.0238654630889081,0.0196345145852325,0.0186128195519109,0.0233991333654309,0.024411834803037
"7","CD16- NK Cell",0.00531056385692716,0.0101160466818544,0.00605681750986239,0.0162748968239727,0.005794710117171,0.00599569241515804,0.00761765366287724,0.00914448443618241,0.00937907237119836,0.00802894384695445,0.00798551326960755,0.00839546294526222,0,0.00541442113468163,0.00584960661395521,0.0060937620018947,0.00572800081706995,0.00574441492223519,0.0107816711590297,0.00536193029490617,0.0086424957841484,0.00851565570548932,0.00989262878513693,0.00411805078929307,0.00487743871935968,0.00331812525922854,0.00784467542655423,0.0319045116732978,0.0160237388724036,0.0112389797429168,0.00500040434536485,0.005382650401418,0.00698590448907842,0.00505158202019162,0.00460922348437146,0.00622951857773838,0.00734117915904936,0.00946465344343008,0.0065614639968174,0.00656058817215842,0.00654080766472109,0.00679205119946224,0.0105855753720175,0,0.00959127239668169,0.00724123356168207,0.00535310678456719,0,0,0.00254376512568673,0,0.00159454474645269,0,0
"8","CD16+ NK Cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000711702138031217,0,0.000348956959137991,0,0.00152349701160202,0.00451530972202625,0.00147554806070826,0.00877767588104284,0.00482567257811557,0.00313756250612805,0.00275137568784392,0.00428591179317019,0.00542590050336667,0.000975902710006756,0.00420825465335851,0.00349956255468067,0.000175216324770197,0.000475706391408612,0.000455744002083401,0.000316183445223056,0.000333727929879354,0,0.000199954296160878,0.000201232886819917,0.000185651770322238,0.000590318772136954,0.000309273601853009,0.000168050751326901,0.00290876581519944,0,0.00112125459297701,0.00338136897593965,0.00214917324239661,0,0,0.00453991414792701,0,0.00490855249138431,0,0
"9","CD141+ Conventional Dendritic Cell",0.00619565783308169,0.00437539580060696,0.00514449353348144,0.00508702673604881,0.00440987261459285,0.00245454721850321,0.00306868362620273,0.0015662698255745,0,0.000677338884208092,0.00277563379445467,0.0040224941056522,0.00451197857537915,0.00776961051369949,0.00531339267434265,0.000827864025467487,0.00787280944396688,0.00348472432602452,0.00421891480135943,0.0182023423169183,0.00822091062394604,0.00772959517882877,0,0.00882439454848515,0.00581540770385193,0.00559933637494815,0.00320324246584298,0.00255236093386382,0.00658214189371459,0.0039033582340669,0.000828907997951317,0,0.00108076434779778,0.00111031860996934,0.00198977407248823,0.00375195909256416,0.00168532906764168,0.000650653000717731,0,0.00150262960180316,0.000829116464542111,0.00151245676194211,0.000654310350412345,0,0,0.00236057834169371,0.00175264681391015,0.000682122700881075,0,0,0.000826116681859617,0,0.000744080185582352,0.000774573558952708
"10","Granulocyte",0.146856180906267,0.0750890294352285,0.06717407648316,0.105302350619056,0.091065342722728,0.0634980693482353,0.0135886965994994,0.0344816675236325,0.0285593671420443,0.046348152186483,0.0378495517425637,0.0852529790352386,0.00679222581239872,0.0119687204029804,0.0179680416491991,0.0218573172084766,0.0421301694569038,0.0230190459635966,0.105004101722724,0.106391985325243,0.160940134907251,0.106511201362505,0.180600796235975,0.203059123443475,0.111930965482741,0.1201437854279,0.166241746747728,0.19277831994595,0.354788238467764,0.203176526011172,0.252709113944524,0.179615003649255,0.134092906670139,0.183540813400296,0.239673324433922,0.208035841499517,0.0857018395795247,0.0709413003669146,0.139058480307651,0.14207899538478,0.0300587619843521,0.1314997129133,0.145036634901303,0.0315641231039562,0.169938255236941,0.102063113570933,0.0504302311749078,0.0522635917008405,0.264354386192671,0.134528078574078,0.295165793072015,0.25557539551323,0.191149822733838,0.172168125021279
"11","Myeloid_unassigned",0.0390656184377224,0.0375691880022041,0.0352849745309557,0.0384801722591064,0.0361334551204612,0.0372644895900033,0.050753864961288,0.0568049677649013,0.0267239322357433,0.0488510019659348,0.0506367630469631,0.0473539157586185,0.0842915223318682,0.065149064210341,0.0962357781439198,0.089477592195888,0.094048156060361,0.088591459528362,0.067971405133013,0.148440807111613,0.0784148397976391,0.0594785798506485,0.0611653999276149,0.0767722325718208,0.0619059529764882,0.0770081570579289,0.0777276590181081,0.0665865925981533,0.0417048826544376,0.0572043879130493,0.0354206539612368,0.0390405067250547,0.0400078127543214,0.0286844562747708,0.0291539682139889,0.0456884132537559,0.0270081124314442,0.038616590980742,0.0268611589974804,0.0276913169475153,0.0482664227572729,0.0324758076939236,0.0450048911318273,0.0481407788314944,0.0432440622750862,0.0531528873222588,0.0433482691621397,0.0695521539648382,0.0602519996249576,0.0234150046812344,0.0179822812215132,0.0212581472418785,0.0235479494025474,0.0247182595076776
"12","Plasmacytoid Dendritic Cell",0,0,0.0016556990682469,0.000511394222142473,0,0.00219259949162737,0.00717689422605138,0.00768896096191117,0.00867242993227245,0.0104491913234541,0.00650863860357419,0.00692984133052954,0.00624884774740682,0.00682250588797345,0.00686353842704078,0.00837252174209902,0.00827283327517384,0.00765646081133653,0.00515645142388375,0.00366868914914632,0.00579679595278246,0.00615747412550766,0.00494631439256846,0.00568683204235709,0,0,0,0,0,0,0.00460279806992479,0.00617766656240225,0.00612650151372115,0.00503687581343706,0.00524519557716042,0.00574667152152231,0.0046489373857404,0.00327338829227064,0.00273703752817929,0.00519212192765912,0.00336910817337747,0.00373212710238492,0.00526687440480432,0.00356598361714773,0.00368953369445812,0.00384391473208233,0.00452040128474563,0.00525396889845304,0.00370714960584489,0.00400113056227808,0.00391693254329991,0.00401942846225632,0.00466582045782816,0.00446018181199142
"13","Root_unassigned",0.0286093611704066,0.0409905501320021,0.0503045303643383,0.0280907949040014,0.0273628176041329,0.0563478665812911,0,0,0.0138850650661674,0,0,0,0,0.0061855151662462,0.0061030895672266,0.00703257687613618,0.00476624139310427,0.00466009452625131,0.0285948669869917,0.00042331028643996,0.0129637436762226,0.0157212105332111,0,0,0.0167583791895948,6.91276095672612e-05,0.015820095443551,0.000525486074619023,0.0276773671432425,0,0.02397768013586,0.0277734334271713,0.0262248120055991,0.0331624962315345,0.0296136312117472,0.0185619073250273,0,0,0.00172921363214428,0,0,0.000315095158737939,0.00687997615978129,0.0151683506033748,0.00482594037652941,0.00274337482953594,0.013616717554225,0.0288196841122254,0.00421922669147716,0.00557331873023724,0.00408073154056518,0.00448970894047278,0.00568127106403467,0.0055837390623404
"14","T Cell_unassigned",0.0513180958331164,0.0529488687299016,0.050211608477855,0.05,0.0537533024936897,0.0491103479053884,0.0245411527938327,0.0260016611952695,0.0296330965622304,0.0289686276453388,0.0261681410675058,0.0225498629962404,0.0519605274648502,0.0446731650895559,0.047840032757797,0.0481612030485879,0.0452792932344906,0.0448627217269665,0.0391421539903902,0.0489628897982221,0.0335160202360877,0.0429713087907769,0.0371576788514899,0.0391214824982841,0.113369184592296,0.115996128853864,0.091455841014578,0.111853464454621,0.0916104666846507,0.102833299683693,0.0757945386419387,0.0824340527577938,0.0865132328526319,0.0826709412707633,0.0752210160441276,0.0805721341839885,0.0512739945155393,0.0497850161992474,0.0418724307121071,0.0406783299345283,0.0486480795425383,0.0509473861106054,0.0535497956089945,0.0666037882115817,0.0548429864767605,0.0590224334691729,0.0568301677306792,0.0584920216005522,0.0401872326921551,0.0460704128318819,0.0344974931631723,0.0419578364158749,0.0440145314483302,0.039690511048313
